category,medication_id,medication_name,common_names,dosage_form,s规格,basic_insurance_class,payment_ratio,notes
解热镇痛药,1,对乙酰氨基酚,扑热息痛、退热灵,片剂;口服混悬液,0.1g/片;0.5g/10ml,甲类,90%,常用儿童退烧药
解热镇痛药,2,布洛芬,Ibuprofen,胶囊;混悬液,0.2g/粒;100mg/10ml,甲类,90%,抗炎作用较强
解热镇痛药,3,双氯芬酸钠,Diclofenac Sodium,片剂;凝胶,50mg/片,乙类,80%,外用消炎止痛
解热镇痛药,4,萘普生,Naproxen,片剂,0.25g/片,乙类,80%,长效NSAIDs
镇痛药,5,曲马多,Tramadol,片剂;缓释片,50mg/片;100mg/150mg/200mg,乙类,80%,中度疼痛用药
镇痛药,6,喷他佐辛,Pentazocine,片剂,25mg/50mg,乙类,80%,阿片类镇痛药
解痉止痛药,7,山莨菪碱,Anisodamine,注射液;片剂,1mg/支;5mg/片,甲类,85%,胃肠痉挛
解痉止痛药,8,东茛菪碱,Scopolamine,注射液;贴片,0.5mg/支,乙类,80%,晕动病
心血管系统,9,硝苯地平,Nifedipine,片剂;缓释片;控释片,10mg;30mg/60mg/90mg;30mg/60mg,甲类,85%,CCB类降压药
 cardiovascular system,10,氨氯地平,Amlodipine,片剂,5mg;10mg,乙类,80%,长效CCB
 Cardiovascular system,11,硝苯地平控释片,Nifedipine GITS,控释片,30mg;60mg,甲类,85%,同类重复，优选缓释
Cardiovascular system,12,卡托普利,Captopril,片剂,12.5mg;25mg,甲类,85%,ACEI类
cardiovascular system,13,依那普利,Enalapril,片剂,5mg;10mg,甲类,85%,ACEI类
Cardiovascular system,14,贝那普利,Benazepril,片剂,5mg;10mg;20mg,乙类,80%,ACEI类
Cardiovascular system,15,氯沙坦钾,Losartan Potassium,片剂,50mg;100mg,乙类,80%,ARB类
cardiovascular system,16,缬沙坦,Valsartan,片剂,80mg;160mg,乙类,80%,ARB类
Cardiovascular system,17,厄贝沙坦,Irbesartan,片剂,75mg;150mg;300mg,乙类,80%,ARB类
Cardiovascular system,18,美托洛尔,Metoprolol,片剂;缓释片,25mg;50mg;237.5mg,甲类,85%,β受体阻断剂
cardiovascular system,19,阿替洛尔,Atenolol,片剂,12.5mg;25mg,甲类,85%,β受体阻断剂
Cardiovascular system,20,比索洛尔,Bisoprolol,片剂,5mg;10mg,乙类,80%,β受体阻断剂
Cardiovascular system,21,氢氯噻嗪,Hydrochlorothiazide,片剂,12.5mg;25mg,甲类,80%,利尿剂
Cardiovascular system,22,氨氯地平缬沙坦组合,Amlopress,片剂,5mg/80mg;10mg/80mg,乙类,75%,复方制剂
抗血小板药,23,阿司匹林,Aspirin,肠溶片,75mg;100mg;300mg,甲类,90%,心脑血管事件预防
antiplatelet drugs,24,氯吡格雷,Clopidogrel,片剂,75mg,乙类,80%,PCI术后用药
antiplatelet drugs,25,替格瑞洛,Ticagrelor,片剂,90mg,乙类,70%,急性冠脉综合征
降脂药,26,辛伐他汀,Simvastatin,片剂,10mg;20mg;40mg,甲类,85%, heparin
Lipid-lowering drugs,27,阿托伐他汀,Atorvastatin,片剂,10mg;20mg;40mg;80mg,乙类,80%,强效他汀
lipid-lowering drugs,28,瑞舒伐他汀,Rosuvastatin,片剂,5mg;10mg;20mg,乙类,75%,强效他汀
Lipid-lowering drugs,29,非诺贝特,Fenofibrate,微粒化胶囊,0.2g,乙类,80%,降甘油三酯
内分泌系统,30,二甲双胍,Metformin,片剂;缓释片,0.25g/片;0.5g/片/1.0g,甲类,90%,一线降糖药
endocrine system,31,格列本脲,Glibenclamide,片剂,2.5mg;5mg,乙类,80%,磺脲类
Endocrine system,32,格列美脲,Glimepiride,片剂,1mg;2mg;4mg,乙类,80%,磺脲类
endocrine system,33,格列齐特,Gliclazide,片剂,80mg,乙类,80%,磺脲类
Endocrine system,34,西格列汀,Sitagliptin,片剂,100mg,乙类,75%,DPP-4抑制剂
endocrine system,35,沙格列汀,Saxagliptin,片剂,5mg,乙类,75%,DPP-4抑制剂
Endocrine system,36,达格列净,Dapagliflozin,片剂,10mg,乙类,70%,SGLT2抑制剂
endocrine system,37,胰岛素（常规）,Regular Insulin,注射液,400单位/10ml,甲类,90%,短效胰岛素
Endocrine system,38,精蛋白锌重组人胰岛素,Porcine Islet Cell Antibody,预混,30R;50R,乙类,85%,预混胰岛素
endocrine system,39,门冬胰岛素,Insulin Aspart,注射液,100单位/ml,乙类,80%,速效胰岛素
Endocrine system,40,左甲状腺素钠,Levothyroxine Sodium,片剂,25μg;50μg;75μg;100μg;150μg,甲类,90%,甲减用药
digestive system,41,雷尼替丁,Ranitidine,片剂,0.15g;0.3g,甲类,85%,H2受体拮抗剂
Digestive system,42,法莫替丁,Famotidine,片剂;注射液,10mg/片;20mg/支,甲类,85%,H2受体拮抗剂
digestive system,43,奥美拉唑,Omeprazole,胶囊;肠溶片,10mg;20mg,乙类,80%,PPI类
Digestive system,44,兰索拉唑,Lansoprazole,肠溶片,15mg;30mg,乙类,80%,PPI类
digestive system,45,泮托拉唑,Pantoprazole,干混悬剂;注射液,40mg,乙类,80%,PPI类
Digestive system,46,硫糖铝,Sucralfate,混悬液;片剂,1g/5ml;0.25g/片,甲类,85%,胃黏膜保护
digestive system,47,枸橼酸铋钾,Bismuth Potassium Citrate,胶囊,0.3g,乙类,80%,幽门螺杆菌治疗
Digestive system,48,多潘立酮,Domperidone,片剂;混悬液,10mg/片,乙类,80%,促胃肠动力
digestive system,49,蒙脱石散,Smectite,散剂,3g/袋,乙类,85%,止泻药
Digestive system,50,乳果糖,Lactulose,口服溶液,10g/15ml,乙类,80%,通便药
respiratory system,51,沙丁胺醇,Salbutamol,气雾剂;吸入溶液,100μg/吸,乙类,80%,支气管扩张
Respiratory system,52,特布他林,Terbutaline,气雾剂;片剂,5mg/片,乙类,80%,支气管扩张
respiratory system,53,布地奈德,Budesonide,吸入气雾剂;干粉吸入剂,100μg/吸,乙类,80%,糖皮质激素
